frame,track_id,class,x,y
1,1,truck,676.8984375,78.86679077148438
1,2,car,219.71817016601562,56.18092346191406
1,3,car,115.98164367675781,102.46095275878906
1,4,car,331.792724609375,19.09197998046875
1,5,car,817.2032470703125,103.16560363769531
1,6,car,378.3287658691406,34.08429718017578
1,7,car,584.011474609375,114.37246704101562
1,8,car,769.708984375,66.2801513671875
2,1,truck,675.980224609375,75.80894470214844
2,2,car,215.40667724609375,56.18052673339844
2,3,car,104.65037536621094,104.70547485351562
2,4,car,329.650390625,19.154279708862305
2,5,car,816.134521484375,100.63642883300781
2,6,car,374.09100341796875,34.94491958618164
2,7,car,584.598388671875,111.03628540039062
2,8,car,768.09765625,64.92274475097656
3,1,truck,675.6068115234375,73.29248046875
3,2,car,210.6458282470703,57.31315612792969
3,3,car,98.14192199707031,107.99880981445312
3,4,car,326.7586975097656,19.58682632446289
3,5,car,814.05322265625,97.92076873779297
3,6,car,370.47137451171875,36.13540267944336
3,7,car,586.2127685546875,105.57046508789062
3,8,car,768.85498046875,63.21957015991211
4,1,truck,675.3005981445312,71.05770874023438
4,2,car,205.1207275390625,58.89674377441406
4,3,car,83.6622314453125,112.54283142089844
4,4,car,323.88043212890625,20.672025680541992
4,5,car,811.935791015625,95.7391128540039
4,6,car,366.2437438964844,38.23554229736328
4,7,car,587.818115234375,101.99501037597656
4,8,car,767.8872680664062,61.82120895385742
5,1,truck,675.5574951171875,68.8797378540039
5,2,car,199.82803344726562,60.03559875488281
5,3,car,69.85617065429688,116.77870178222656
5,4,car,321.37933349609375,21.020488739013672
5,5,car,810.2027587890625,92.55765533447266
5,6,car,362.0262756347656,39.58253479003906
5,7,car,589.3140869140625,98.84654235839844
5,8,car,766.863525390625,60.070186614990234
6,1,truck,675.5191650390625,67.38546752929688
6,2,car,193.96658325195312,62.249874114990234
6,3,car,57.06186294555664,120.66860961914062
6,4,car,318.11004638671875,22.117502212524414
6,5,car,808.9881591796875,90.52357482910156
6,6,car,357.85272216796875,41.461448669433594
6,7,car,590.9540405273438,96.1448974609375
6,8,car,766.5438232421875,59.09137725830078
6,9,car,1054.41357421875,637.7833251953125
7,1,truck,675.138427734375,64.63032531738281
7,2,car,188.0386962890625,63.89126205444336
